order_id,vendor_id,order_date,item_count,gross_order_value,delivery_fee,discount_amount,is_cancelled,payment_method,customer_id,net_order_value,affordability_score
ORD0000079,V00456,2023-04-29,1,81.45,3.8,14.44,0,cash,C007763,67.01,0.321
ORD0000080,V00776,2024-02-18,7,28.03,4.14,3.1,0,card,C014017,24.93,0.766
ORD0000081,V00609,2024-06-10,5,35.48,1.04,8.37,0,card,C011689,27.11,0.704
ORD0000082,V00629,2023-01-02,3,40.74,2.24,12.92,0,cash,C014941,27.82,0.66
ORD0000083,V00199,2024-11-04,2,43.13,4.15,2.65,0,card,C002647,40.48,0.641
ORD0000084,V00832,2024-07-09,4,103.25,4.03,12.76,0,card,C013192,90.49,0.14
ORD0000085,V00486,2024-04-18,1,92.1,5.02,2.64,0,card,C001706,89.46,0.232
ORD0000086,V00533,2024-02-28,1,97.89,0.79,7.28,0,card,C014711,90.61,0.184
ORD0000087,V00200,2023-02-25,6,110.0,1.93,0.4,0,card,C011219,109.6,0.083
ORD0000088,V00371,2023-07-12,4,64.15,4.51,8.6,0,cash,C008239,55.55,0.465
ORD0000089,V00959,2024-06-14,2,101.07,1.49,7.7,0,card,C010818,93.37,0.158
ORD0000090,V00853,2024-01-06,3,84.96,3.22,10.7,0,card,C012993,74.26,0.292
ORD0000091,V00448,2024-09-29,1,58.45,0.82,12.26,0,card,C008295,46.19,0.513
ORD0000092,V00248,2024-05-25,1,27.29,0.94,14.61,0,card,C007477,12.68,0.773
ORD0000093,V00788,2024-10-02,4,54.48,1.53,10.64,0,cash,C010843,43.84,0.546
ORD0000094,V00264,2024-03-28,4,28.76,1.76,8.68,0,card,C007438,20.08,0.76
ORD0000095,V00058,2023-02-22,1,38.02,0.25,12.32,0,cash,C013138,25.7,0.683
ORD0000096,V00302,2023-07-28,1,37.6,5.13,12.23,0,cash,C001120,25.37,0.687
ORD0000097,V00031,2023-10-01,6,92.52,0.26,13.28,0,wallet,C011100,79.24,0.229
ORD0000098,V00498,2024-07-16,1,63.4,4.57,13.14,0,wallet,C011779,50.26,0.472
ORD0000099,V00249,2023-05-15,5,96.21,1.72,10.66,0,card,C006953,85.55,0.198
ORD0000100,V00605,2023-10-22,1,105.9,2.39,10.59,0,card,C009441,95.31,0.117
ORD0000101,V00777,2024-03-24,3,75.34,3.46,3.73,0,card,C009637,71.61,0.372
ORD0000102,V00271,2024-12-16,3,51.83,1.35,0.69,0,card,C001653,51.14,0.568
ORD0000103,V00606,2024-05-11,7,103.53,0.46,8.04,0,card,C006344,95.49,0.137
ORD0000104,V00666,2023-05-05,6,70.27,5.73,5.34,0,card,C005248,64.93,0.414
ORD0000105,V00394,2023-01-30,2,103.55,4.96,4.93,0,card,C008296,98.62,0.137
ORD0000106,V00797,2024-10-07,4,35.52,4.55,7.17,0,card,C007580,28.35,0.704
ORD0000107,V00502,2024-09-15,2,70.06,3.2,12.28,0,card,C002967,57.78,0.416
ORD0000108,V00592,2023-09-03,1,29.35,3.82,10.57,0,card,C003795,18.78,0.755
ORD0000109,V00804,2024-12-27,4,85.31,5.18,3.1,0,card,C006721,82.21,0.289
ORD0000110,V00084,2023-06-12,1,72.49,2.33,2.55,0,card,C004051,69.94,0.396
ORD0000111,V00365,2023-11-15,4,68.94,0.63,14.9,0,card,C005050,54.04,0.425
ORD0000112,V00886,2024-07-18,6,78.5,5.04,9.78,1,card,C012505,68.72,0.346
ORD0000113,V00549,2023-01-15,7,48.17,0.38,10.22,0,card,C001150,37.95,0.599
ORD0000114,V00342,2024-07-19,5,27.08,5.5,11.85,0,wallet,C001946,15.23,0.774
ORD0000115,V00839,2024-02-22,7,97.74,4.32,8.2,0,card,C000526,89.54,0.185
ORD0000116,V00407,2023-04-06,5,49.2,2.67,5.43,0,card,C004321,43.77,0.59
ORD0000117,V00425,2023-08-19,5,118.73,3.69,8.31,0,wallet,C008816,110.42,0.011
ORD0000118,V00744,2023-04-27,7,60.32,3.2,9.6,0,card,C014075,50.72,0.497
ORD0000119,V00093,2024-04-17,6,61.35,2.41,7.44,0,cash,C005437,53.91,0.489
ORD0000120,V00848,2023-05-01,7,82.95,0.77,9.08,0,cash,C007204,73.87,0.309
ORD0000121,V00614,2024-10-25,2,81.67,4.84,14.25,0,card,C009109,67.42,0.319
ORD0000122,V00412,2023-06-07,4,25.76,3.52,6.09,0,card,C011697,19.67,0.785
ORD0000123,V00432,2024-05-25,2,36.32,4.21,9.66,0,wallet,C006875,26.66,0.697
ORD0000124,V00678,2023-10-26,4,31.62,1.25,10.43,0,card,C007361,21.19,0.736
ORD0000125,V00159,2024-06-05,1,11.14,1.21,8.0,0,cash,C014958,3.14,0.907
ORD0000126,V00014,2024-12-23,5,7.58,5.03,0.27,1,card,C001809,7.31,0.937
ORD0000127,V00373,2023-10-07,5,79.17,3.28,14.76,0,wallet,C002383,64.41,0.34
ORD0000128,V00225,2024-03-01,4,62.34,2.71,5.43,0,wallet,C006309,56.91,0.48
ORD0000129,V00505,2024-05-09,2,107.88,0.56,9.63,0,card,C005369,98.25,0.101
ORD0000130,V00073,2024-04-28,2,39.59,2.55,13.09,0,card,C013259,26.5,0.67
ORD0000131,V00249,2023-09-07,3,95.56,4.21,12.26,0,card,C007817,83.3,0.204
ORD0000132,V00511,2024-04-12,5,16.86,0.62,8.87,0,card,C011375,7.99,0.859
ORD0000133,V00603,2024-07-18,5,98.89,0.17,10.75,0,card,C002619,88.14,0.176
ORD0000134,V00216,2023-05-29,2,110.93,3.31,3.71,0,cash,C008999,107.22,0.076
ORD0000135,V00973,2024-01-28,5,77.14,1.89,5.58,0,wallet,C013631,71.56,0.357
ORD0000136,V00602,2023-07-15,2,89.64,5.43,14.77,0,cash,C001093,74.87,0.253
ORD0000137,V00541,2024-09-05,3,118.6,3.55,11.66,0,cash,C009065,106.94,0.012
ORD0000138,V00947,2024-06-04,4,48.49,1.8,2.91,1,cash,C002353,45.58,0.596
ORD0000139,V00817,2023-05-20,4,8.38,1.88,13.71,0,card,C013780,-5.33,0.93
ORD0000140,V00939,2023-03-13,3,83.5,0.77,7.9,0,card,C012619,75.6,0.304
ORD0000141,V00988,2023-10-10,5,6.53,2.62,13.06,0,card,C009615,-6.53,0.946
ORD0000142,V00220,2024-02-29,7,70.36,0.41,10.15,0,cash,C013764,60.21,0.414
ORD0000143,V00840,2023-12-15,1,73.71,2.64,10.1,1,wallet,C001928,63.61,0.386
ORD0000144,V00727,2024-06-03,5,72.22,0.72,0.31,1,card,C002724,71.91,0.398
ORD0000145,V00221,2023-10-01,2,24.08,4.06,13.01,0,wallet,C013919,11.07,0.799
ORD0000146,V00389,2023-01-03,6,13.82,3.9,7.05,0,card,C008038,6.77,0.885
ORD0000147,V00554,2023-10-17,1,109.39,5.02,0.39,1,wallet,C012422,109.0,0.088
ORD0000148,V00647,2023-11-02,3,67.28,5.53,7.49,1,card,C009212,59.79,0.439
ORD0000149,V00042,2024-08-24,4,42.15,3.92,14.54,0,card,C010221,27.61,0.649
ORD0000150,V00676,2024-08-16,4,93.75,0.92,10.51,0,card,C010508,83.24,0.219
ORD0000151,V00873,2024-11-06,7,110.99,3.04,12.69,0,cash,C013892,98.3,0.075
ORD0000152,V00283,2024-05-16,5,51.48,5.64,0.85,0,cash,C008750,50.63,0.571
ORD0000153,V00058,2023-06-02,4,16.31,1.19,13.45,1,card,C008338,2.86,0.864
ORD0000154,V00814,2024-04-02,5,84.65,2.33,2.11,0,card,C006014,82.54,0.295
ORD0000155,V00834,2024-07-05,7,109.37,4.48,14.46,0,card,C014939,94.91,0.089
ORD0000156,V00537,2024-05-10,7,117.75,4.57,8.34,1,cash,C010626,109.41,0.019
ORD0000157,V00073,2023-12-20,2,98.56,5.69,5.32,0,card,C002697,93.24,0.179
ORD0000158,V00885,2023-12-07,2,35.84,1.48,11.77,0,wallet,C004232,24.07,0.701
ORD0000159,V00923,2024-07-19,3,46.2,5.14,8.51,0,wallet,C009461,37.69,0.615
ORD0000160,V00129,2024-07-10,6,20.73,0.31,9.18,0,card,C011040,11.55,0.827
ORD0000161,V00599,2024-01-22,2,86.97,0.87,1.42,1,card,C009544,85.55,0.275
ORD0000162,V00842,2024-04-11,5,24.46,5.65,0.42,0,wallet,C001049,24.04,0.796
ORD0000163,V00426,2023-11-26,4,54.68,5.28,0.77,0,cash,C010233,53.91,0.544
ORD0000164,V00948,2023-07-13,2,66.15,0.37,1.13,0,card,C014405,65.02,0.449
ORD0000165,V00665,2024-12-15,2,48.99,0.41,6.06,0,cash,C006625,42.93,0.592
ORD0000166,V00694,2023-09-02,5,22.22,2.11,0.77,0,card,C000424,21.45,0.815
ORD0000167,V00125,2024-08-08,7,38.33,2.4,12.91,0,card,C010456,25.42,0.681
ORD0000168,V00067,2024-01-28,2,77.77,2.8,12.32,0,cash,C008681,65.45,0.352
ORD0000169,V00006,2023-08-28,4,88.58,3.29,14.36,0,card,C004788,74.22,0.262
ORD0000170,V00637,2024-02-25,6,75.68,0.78,4.55,0,wallet,C001638,71.13,0.369
ORD0000171,V00314,2023-02-14,4,116.06,5.91,4.64,0,card,C011781,111.42,0.033
ORD0000172,V00326,2023-11-22,7,75.57,5.74,8.37,0,wallet,C011399,67.2,0.37
ORD0000173,V00565,2024-04-29,6,30.91,2.45,11.05,0,card,C005697,19.86,0.742
ORD0000174,V00578,2024-12-23,4,61.47,2.92,6.75,0,wallet,C011099,54.72,0.488
ORD0000175,V00826,2024-01-26,7,101.17,2.18,10.55,0,card,C009180,90.62,0.157
ORD0000176,V00506,2024-01-31,4,42.47,3.9,5.74,0,card,C012754,36.73,0.646
ORD0000177,V00082,2024-11-10,1,89.76,4.19,9.18,0,card,C005485,80.58,0.252
ORD0000178,V00599,2024-10-29,7,95.3,3.21,1.4,0,card,C014347,93.9,0.206
ORD0000179,V00002,2023-06-05,4,112.41,5.54,1.63,0,wallet,C006028,110.78,0.063
ORD0000180,V00204,2024-05-22,7,51.14,2.08,1.2,0,card,C003168,49.94,0.574
ORD0000181,V00662,2023-02-07,7,34.83,1.56,1.61,0,card,C007622,33.22,0.71
ORD0000182,V00805,2023-05-10,1,63.41,3.93,0.38,0,card,C011687,63.03,0.472
ORD0000183,V00404,2024-05-29,4,119.27,0.97,6.73,1,wallet,C003718,112.54,0.006
ORD0000184,V00103,2024-08-27,7,108.74,3.46,4.84,0,wallet,C001012,103.9,0.094
ORD0000185,V00536,2023-12-06,7,37.65,1.94,13.36,0,card,C011570,24.29,0.686
ORD0000186,V00368,2023-04-13,4,27.62,0.82,10.98,0,card,C013023,16.64,0.77
ORD0000187,V00212,2024-03-26,5,59.85,1.9,5.47,0,card,C004557,54.38,0.501
ORD0000188,V00577,2023-04-13,6,24.06,1.21,6.55,0,cash,C003515,17.51,0.799
ORD0000189,V00961,2024-06-22,4,92.17,3.77,8.34,0,card,C007467,83.83,0.232
ORD0000190,V00209,2024-04-12,2,9.21,0.31,11.83,0,wallet,C014733,-2.62,0.923
ORD0000191,V00763,2023-01-16,4,30.84,4.9,4.79,1,card,C006822,26.05,0.743
ORD0000192,V00897,2023-05-28,3,7.1,3.5,8.53,0,card,C003330,-1.43,0.941
ORD0000193,V00117,2024-02-24,5,31.07,5.13,6.61,0,cash,C002032,24.46,0.741
ORD0000194,V00628,2024-11-01,5,11.02,0.96,1.42,0,card,C008678,9.6,0.908
ORD0000195,V00749,2023-06-08,4,82.46,2.83,12.29,0,card,C005258,70.17,0.313
ORD0000196,V00478,2023-03-18,3,70.58,4.0,2.36,0,card,C006037,68.22,0.412
ORD0000197,V00105,2024-04-25,7,29.6,0.87,8.61,0,card,C009265,20.99,0.753
ORD0000198,V00495,2023-09-29,6,28.58,0.08,8.87,0,wallet,C006612,19.71,0.762
ORD0000199,V00771,2023-12-13,4,38.49,5.65,3.03,0,card,C008095,35.46,0.679
ORD0000200,V00046,2024-09-30,2,96.79,4.68,11.49,0,card,C000358,85.3,0.193
ORD0000201,V00823,2024-12-10,7,22.31,4.69,1.84,0,wallet,C008079,20.47,0.814
ORD0000202,V00331,2024-02-12,5,19.0,5.51,1.65,0,cash,C013461,17.35,0.842
ORD0000203,V00216,2024-10-27,7,63.43,3.46,1.7,0,card,C002020,61.73,0.471
ORD0000204,V00982,2023-03-24,5,104.47,3.84,13.58,1,card,C007131,90.89,0.129
ORD0000205,V00960,2023-12-03,6,30.77,1.25,6.7,0,card,C012311,24.07,0.744
ORD0000206,V00492,2024-11-21,3,17.22,2.82,3.79,0,card,C010196,13.43,0.856
ORD0000207,V00813,2024-06-30,1,61.54,0.94,2.8,1,card,C013675,58.74,0.487
ORD0000208,V00922,2024-01-25,6,89.2,0.59,12.43,0,card,C004186,76.77,0.257
ORD0000209,V00845,2023-11-21,3,76.11,1.53,9.95,0,wallet,C004183,66.16,0.366
ORD0000210,V00449,2024-10-03,7,53.09,2.75,3.8,0,card,C008970,49.29,0.558
ORD0000211,V00536,2024-05-14,2,9.65,3.82,1.27,0,card,C011633,8.38,0.92
ORD0000212,V00511,2024-07-08,3,39.57,3.02,9.55,0,wallet,C013884,30.02,0.67
ORD0000213,V00458,2023-02-06,6,110.71,5.36,6.87,0,card,C001565,103.84,0.077
ORD0000214,V00547,2024-09-24,1,30.63,1.96,12.09,0,card,C004440,18.54,0.745
ORD0000215,V00536,2023-03-12,7,75.6,5.07,6.84,0,card,C012284,68.76,0.37
ORD0000216,V00540,2023-08-29,2,109.36,2.61,5.69,0,wallet,C005005,103.67,0.089
ORD0000217,V00484,2024-10-08,2,61.13,0.83,13.53,0,wallet,C000038,47.6,0.491
ORD0000218,V00976,2024-12-01,1,56.32,5.19,10.37,0,card,C000079,45.95,0.531
ORD0000219,V01000,2023-10-22,4,21.22,2.93,4.89,0,cash,C000969,16.33,0.823
ORD0000220,V00016,2023-08-21,3,117.77,0.84,2.18,0,cash,C012229,115.59,0.019
ORD0000221,V00571,2023-04-03,6,25.32,1.13,8.51,0,wallet,C012030,16.81,0.789
ORD0000222,V00977,2024-03-20,2,60.37,0.43,13.8,0,cash,C004453,46.57,0.497
ORD0000223,V00243,2023-04-11,6,24.7,3.86,2.9,0,card,C000594,21.8,0.794
ORD0000224,V00950,2024-10-10,3,45.06,2.18,8.8,0,card,C012851,36.26,0.624
ORD0000225,V00207,2024-12-21,7,106.66,5.79,9.92,0,card,C007284,96.74,0.111
ORD0000226,V00912,2023-04-13,1,78.98,3.23,5.53,0,cash,C006056,73.45,0.342
ORD0000227,V00271,2024-03-30,5,6.13,1.47,0.62,1,card,C006723,5.51,0.949
ORD0000228,V00761,2023-06-20,1,116.18,3.53,11.67,0,cash,C000740,104.51,0.032
ORD0000229,V00994,2024-12-11,3,95.15,5.85,7.32,0,card,C002442,87.83,0.207
ORD0000230,V00779,2023-11-03,2,119.72,0.14,13.84,0,card,C003907,105.88,0.002
ORD0000231,V00705,2023-01-30,7,92.73,1.02,12.02,0,card,C012685,80.71,0.227
ORD0000232,V00847,2023-02-17,3,92.96,5.56,1.64,0,card,C014115,91.32,0.225
ORD0000233,V00730,2023-11-29,7,85.43,0.15,13.72,1,card,C002016,71.71,0.288
ORD0000234,V00115,2023-02-27,5,53.67,5.77,4.58,0,card,C000835,49.09,0.553
ORD0000235,V00580,2023-10-28,2,41.22,3.76,12.72,0,card,C011905,28.5,0.656
ORD0000236,V00299,2024-01-03,7,65.4,1.39,9.4,0,card,C006928,56.0,0.455
ORD0000237,V00837,2024-01-19,5,25.5,0.54,7.9,0,card,C005118,17.6,0.787
ORD0000238,V00483,2024-03-17,7,88.08,0.62,12.51,0,card,C012706,75.57,0.266
ORD0000239,V00397,2023-05-30,4,119.69,5.02,14.94,0,card,C000662,104.75,0.003
ORD0000240,V00394,2023-09-08,6,74.11,4.92,12.07,1,wallet,C007284,62.04,0.382
ORD0000241,V00075,2024-06-27,1,103.49,4.99,10.72,0,card,C012595,92.77,0.138
ORD0000242,V00978,2024-02-26,4,24.82,5.75,13.6,0,cash,C009950,11.22,0.793
ORD0000243,V00482,2024-08-02,3,99.88,2.34,3.64,0,card,C007968,96.24,0.168
ORD0000244,V00103,2024-11-29,4,109.35,5.49,1.37,0,wallet,C002604,107.98,0.089
ORD0000245,V00297,2023-07-04,1,101.47,0.97,10.41,0,wallet,C009574,91.06,0.154
ORD0000246,V00178,2023-06-24,2,77.13,5.63,12.63,0,card,C006736,64.5,0.357
ORD0000247,V00215,2023-06-29,6,111.53,1.46,5.9,0,wallet,C008587,105.63,0.071
ORD0000248,V00967,2023-03-22,5,115.57,2.44,2.97,0,card,C012134,112.6,0.037
ORD0000249,V00315,2024-09-16,7,98.77,3.09,1.09,1,card,C002644,97.68,0.177
ORD0000250,V00039,2024-01-27,2,67.92,4.81,9.37,1,card,C002892,58.55,0.434
ORD0000251,V00259,2024-09-26,6,101.06,2.33,3.38,0,card,C012010,97.68,0.158
ORD0000252,V00716,2024-11-30,4,47.77,2.05,9.82,0,card,C009205,37.95,0.602
ORD0000253,V00007,2023-09-04,3,44.86,5.89,11.91,0,card,C008247,32.95,0.626
ORD0000254,V00049,2024-05-24,4,45.01,0.45,0.56,0,card,C010842,44.45,0.625
ORD0000255,V00538,2024-08-20,1,27.91,0.15,12.18,0,wallet,C014719,15.73,0.767
ORD0000256,V00161,2023-05-27,1,76.64,0.34,10.24,1,card,C005410,66.4,0.361
ORD0000257,V00869,2023-08-26,3,81.07,5.48,11.94,0,cash,C012275,69.13,0.324
ORD0000258,V00176,2024-04-17,6,103.86,1.39,5.35,0,card,C012977,98.51,0.134
ORD0000259,V00591,2024-10-15,2,84.87,0.26,14.07,0,card,C005006,70.8,0.293
ORD0000260,V00002,2023-09-18,7,94.69,4.37,13.03,0,card,C002521,81.66,0.211
ORD0000261,V00895,2024-04-15,7,84.22,3.84,7.25,0,card,C007430,76.97,0.298
ORD0000262,V00455,2023-09-19,1,85.16,4.74,8.96,0,wallet,C003378,76.2,0.29
ORD0000263,V00928,2024-11-13,1,44.16,3.14,8.73,0,card,C012168,35.43,0.632
ORD0000264,V00644,2023-01-10,3,116.08,1.06,14.88,0,card,C004381,101.2,0.033
ORD0000265,V00276,2024-04-21,2,78.46,1.74,13.37,1,card,C004238,65.09,0.346
ORD0000266,V00498,2023-10-22,4,72.52,0.37,9.89,1,wallet,C009646,62.63,0.396
ORD0000267,V00629,2024-11-24,5,102.43,4.22,6.66,0,card,C011653,95.77,0.146
ORD0000268,V00676,2024-07-13,3,53.41,3.88,9.9,0,wallet,C007954,43.51,0.555
ORD0000269,V00800,2023-06-11,2,16.07,4.08,2.89,0,card,C009433,13.18,0.866
ORD0000270,V00028,2023-03-17,5,32.61,5.86,7.51,0,card,C013482,25.1,0.728
ORD0000271,V00333,2024-03-28,7,97.93,0.36,0.89,0,cash,C012139,97.04,0.184
ORD0000272,V00001,2023-12-20,3,89.16,0.39,2.78,0,card,C009818,86.38,0.257
ORD0000273,V00188,2024-08-24,4,18.48,4.42,8.63,0,wallet,C002445,9.85,0.846
ORD0000274,V00056,2023-11-03,4,13.01,5.83,10.44,0,wallet,C014683,2.57,0.892
ORD0000275,V00547,2024-10-16,2,76.52,3.25,7.9,0,card,C014153,68.62,0.362
ORD0000276,V00112,2024-03-10,2,112.94,4.87,0.58,0,wallet,C006142,112.36,0.059
ORD0000277,V00798,2024-12-07,4,25.12,3.65,5.26,0,cash,C001883,19.86,0.791
ORD0000278,V00310,2023-09-14,4,68.14,5.59,7.8,0,cash,C013058,60.34,0.432
ORD0000279,V00036,2024-04-12,3,98.38,1.2,12.9,0,card,C013971,85.48,0.18
ORD0000280,V00439,2023-11-06,6,65.8,2.17,12.37,0,wallet,C010520,53.43,0.452
ORD0000281,V00729,2023-07-23,7,45.38,3.67,2.73,0,wallet,C009775,42.65,0.622
ORD0000282,V00592,2024-01-29,6,95.92,1.19,12.5,0,wallet,C007872,83.42,0.201
ORD0000283,V00826,2024-05-09,2,93.69,5.0,7.1,0,card,C011300,86.59,0.219
ORD0000284,V00595,2023-04-20,5,100.51,4.78,12.56,0,card,C003194,87.95,0.162
ORD0000285,V00577,2023-08-31,4,113.69,4.31,9.45,0,card,C013312,104.24,0.053
