vendor_id,vendor_name,country,city,cuisine_type,vendor_tier,rating,avg_prep_time_min,is_active,total_orders,avg_order_value,avg_discount,avg_affordability_score,avg_delivery_fee,total_revenue,unique_customers,avg_items_per_order,affordability_segment,performance_tier
V00732,Restaurant_732,Bosnia,Taipei,Healthy,Standard,4.5,44,True,51,67.05,8.2,0.441,2.94,3001.2,51,3.1,Mid Affordability,Low Performer
V00965,Restaurant_965,Bangladesh,Istanbul,Turkish,Premium,4.3,13,True,58,66.48,6.92,0.446,2.76,3454.71,58,4.3,Mid Affordability,Low Performer
V00079,Restaurant_79,Saudi Arabia,Berlin,Asian,Budget,4.2,42,True,50,65.03,7.67,0.458,2.74,2868.14,50,3.8,Mid Affordability,Low Performer
V00781,Restaurant_781,Bangladesh,Sarajevo,Asian,Premium,3.5,31,True,43,66.98,8.07,0.442,2.73,2532.85,43,4.1,Mid Affordability,Low Performer
V00497,Restaurant_497,Germany,Dubai,Indian,Standard,4.7,37,True,44,63.05,7.69,0.475,2.82,2435.65,43,4.5,Mid Affordability,Low Performer
V00956,Restaurant_956,Bangladesh,Dhaka,Mexican,Standard,3.0,17,True,53,57.27,7.4,0.523,3.2,2643.02,53,4.4,Mid Affordability,Low Performer
V00341,Restaurant_341,UAE,Dhaka,Mexican,Standard,3.1,38,True,44,53.74,6.82,0.552,3.15,2064.66,44,3.6,Mid Affordability,Low Performer
V00508,Restaurant_508,Saudi Arabia,Istanbul,Turkish,Standard,4.2,15,True,45,65.85,6.21,0.451,2.76,2683.73,45,3.8,Mid Affordability,Low Performer
V00214,Restaurant_214,Bosnia,Berlin,Turkish,Standard,2.7,18,True,59,65.6,7.0,0.453,2.89,3457.29,59,3.9,Mid Affordability,Low Performer
V00146,Restaurant_146,Bosnia,Dubai,Fast Food,Standard,5.0,31,True,59,65.81,7.34,0.451,3.13,3449.77,59,4.2,Mid Affordability,Low Performer
V00440,Restaurant_440,Turkey,Berlin,Fast Food,Standard,4.9,15,True,45,64.92,6.49,0.459,3.17,2629.7,45,4.3,Mid Affordability,Low Performer
V00463,Restaurant_463,UAE,Dhaka,Indian,Standard,3.4,29,True,56,69.25,7.58,0.423,2.84,3453.77,56,4.2,Mid Affordability,Low Performer
V00420,Restaurant_420,Taiwan,Taipei,Fast Food,Standard,4.4,22,True,56,59.53,7.78,0.504,3.12,2897.95,56,3.8,Mid Affordability,Low Performer
V00859,Restaurant_859,Saudi Arabia,Taipei,Turkish,Standard,4.5,20,True,47,70.31,7.28,0.414,3.3,2962.36,47,4.6,Mid Affordability,Low Performer
V00156,Restaurant_156,UAE,Taipei,Asian,Standard,3.4,38,True,49,59.94,7.96,0.501,2.66,2546.77,49,4.5,Mid Affordability,Low Performer
V00654,Restaurant_654,Turkey,Dhaka,Turkish,Standard,5.0,22,True,47,64.3,7.25,0.464,3.21,2681.37,46,4.3,Mid Affordability,Low Performer
V00290,Restaurant_290,Germany,Istanbul,Italian,Standard,3.6,14,True,44,60.69,7.45,0.494,3.27,2342.37,44,4.9,Mid Affordability,Low Performer
V00674,Restaurant_674,Germany,Taipei,Mexican,Standard,3.9,38,False,35,58.28,6.83,0.514,2.89,1800.77,35,3.6,Mid Affordability,Low Performer
V00475,Restaurant_475,Bangladesh,Istanbul,Mexican,Standard,2.6,24,True,56,62.22,8.79,0.482,3.29,2992.01,55,4.2,Mid Affordability,Low Performer
V00635,Restaurant_635,Bangladesh,Istanbul,Fast Food,Standard,4.6,43,True,41,57.1,7.52,0.524,3.27,2033.1,41,3.3,Mid Affordability,Low Performer
V00763,Restaurant_763,UAE,Dubai,Italian,Standard,3.6,35,True,42,70.65,6.41,0.411,3.09,2698.2,42,4.4,Mid Affordability,Low Performer
V00500,Restaurant_500,Bangladesh,Dhaka,Fast Food,Premium,2.5,16,True,40,66.72,7.42,0.444,2.97,2371.99,40,4.2,Mid Affordability,Low Performer
V00298,Restaurant_298,Saudi Arabia,Berlin,Italian,Standard,2.6,31,False,45,64.71,7.8,0.461,3.0,2560.84,45,4.2,Mid Affordability,Low Performer
V00164,Restaurant_164,Bosnia,Dhaka,Asian,Budget,3.2,37,True,40,60.72,7.26,0.494,2.71,2138.55,40,3.7,Mid Affordability,Low Performer
V00890,Restaurant_890,Turkey,Sarajevo,Healthy,Standard,4.4,21,True,39,54.11,7.65,0.549,3.0,1812.22,39,4.1,Mid Affordability,Low Performer
V00382,Restaurant_382,Bangladesh,Sarajevo,Healthy,Premium,2.6,19,True,55,63.26,7.74,0.473,2.67,3053.68,54,4.0,Mid Affordability,Low Performer
V00162,Restaurant_162,Taiwan,Dhaka,Fast Food,Premium,4.8,20,True,46,63.92,8.05,0.467,3.45,2569.98,46,4.2,Mid Affordability,Low Performer
V00594,Restaurant_594,Bangladesh,Istanbul,Mexican,Budget,2.8,30,True,48,66.17,8.27,0.449,2.88,2779.29,48,4.3,Mid Affordability,Low Performer
V00792,Restaurant_792,Turkey,Sarajevo,Turkish,Standard,4.1,21,True,49,60.53,7.72,0.496,3.19,2587.86,48,4.8,Mid Affordability,Low Performer
V00740,Restaurant_740,Turkey,Taipei,Indian,Standard,3.3,38,True,45,60.65,8.21,0.495,3.06,2359.73,45,4.0,Mid Affordability,Low Performer
V00359,Restaurant_359,Taiwan,Taipei,Italian,Standard,3.5,28,True,48,65.67,7.1,0.453,3.11,2811.05,48,4.4,Mid Affordability,Low Performer
V00636,Restaurant_636,Turkey,Istanbul,Asian,Standard,4.9,18,True,39,61.28,6.73,0.489,2.6,2127.64,38,4.4,Mid Affordability,Low Performer
V00077,Restaurant_77,Bangladesh,Istanbul,Dessert,Standard,4.3,41,False,62,64.33,8.16,0.464,3.32,3482.62,62,3.5,Mid Affordability,Low Performer
V00134,Restaurant_134,UAE,Dubai,Indian,Standard,3.3,35,False,45,64.1,6.37,0.466,2.67,2597.89,45,4.6,Mid Affordability,Low Performer
V00168,Restaurant_168,UAE,Dhaka,Mexican,Standard,4.9,44,False,45,62.73,7.76,0.477,3.32,2473.53,45,3.7,Mid Affordability,Low Performer
V00918,Restaurant_918,Bosnia,Taipei,Dessert,Premium,3.5,39,True,43,65.48,6.52,0.454,2.9,2535.42,43,4.3,Mid Affordability,Low Performer
V00277,Restaurant_277,Bosnia,Dhaka,Dessert,Standard,3.8,10,True,47,66.25,6.76,0.448,2.46,2796.0,47,3.8,Mid Affordability,Low Performer
V00544,Restaurant_544,Germany,Sarajevo,Indian,Standard,4.6,10,True,35,57.11,6.93,0.524,2.88,1756.57,35,3.8,Mid Affordability,Low Performer
V00190,Restaurant_190,Taiwan,Dhaka,Turkish,Premium,4.9,41,False,29,65.06,8.69,0.458,2.74,1634.62,29,3.8,Mid Affordability,Low Performer
V00724,Restaurant_724,Germany,Istanbul,Healthy,Premium,3.4,40,True,39,51.93,7.34,0.567,2.69,1739.04,39,3.7,Mid Affordability,Low Performer
V00258,Restaurant_258,UAE,Riyadh,Mexican,Standard,4.4,28,True,39,67.23,8.94,0.44,2.87,2273.41,39,4.4,Mid Affordability,Low Performer
V00189,Restaurant_189,UAE,Sarajevo,Indian,Standard,4.2,39,True,54,59.95,7.38,0.5,3.06,2838.49,54,4.0,Mid Affordability,Low Performer
V00010,Restaurant_10,UAE,Istanbul,Dessert,Premium,2.8,28,True,54,70.66,7.63,0.411,3.23,3403.51,54,3.8,Mid Affordability,Low Performer
V00701,Restaurant_701,Germany,Dhaka,Healthy,Standard,2.8,21,True,55,65.27,7.48,0.456,3.27,3178.71,55,4.1,Mid Affordability,Low Performer
V00421,Restaurant_421,Germany,Istanbul,Fast Food,Standard,4.3,29,True,42,70.03,7.83,0.416,3.21,2612.54,42,3.6,Mid Affordability,Low Performer
V00629,Restaurant_629,UAE,Berlin,Italian,Standard,3.8,42,True,41,61.28,6.89,0.489,3.13,2229.78,41,4.4,Mid Affordability,Low Performer
V00959,Restaurant_959,Turkey,Sarajevo,Indian,Budget,3.6,19,True,65,60.46,7.28,0.496,2.52,3456.84,65,4.0,Mid Affordability,Low Performer
V00885,Restaurant_885,Bosnia,Taipei,Dessert,Premium,4.2,10,True,41,67.69,7.88,0.436,2.92,2452.32,41,4.2,Mid Affordability,Low Performer
V00484,Restaurant_484,Bosnia,Berlin,Fast Food,Budget,3.7,13,True,38,64.46,8.34,0.463,2.89,2132.7,38,3.5,Mid Affordability,Low Performer
V00705,Restaurant_705,Bosnia,Dhaka,Italian,Premium,4.2,11,True,46,68.73,8.68,0.427,3.1,2762.65,46,3.9,Mid Affordability,Low Performer
V00967,Restaurant_967,UAE,Berlin,Mexican,Standard,4.3,27,True,47,64.93,8.25,0.459,2.8,2664.12,47,3.7,Mid Affordability,Low Performer
V00455,Restaurant_455,Germany,Istanbul,Indian,Budget,2.7,25,True,47,63.07,7.91,0.474,2.65,2592.64,47,3.4,Mid Affordability,Low Performer
V00595,Restaurant_595,Taiwan,Dubai,Fast Food,Premium,2.7,33,False,43,63.61,7.92,0.47,2.96,2394.71,43,4.1,Mid Affordability,Low Performer
V00109,Restaurant_109,Bosnia,Istanbul,Turkish,Standard,3.9,14,True,39,60.74,7.47,0.494,3.14,2077.8,39,3.5,Mid Affordability,Low Performer
V00059,Restaurant_59,Germany,Istanbul,Mexican,Premium,3.0,21,True,47,62.4,9.12,0.48,2.89,2503.73,47,3.6,Mid Affordability,Low Performer
V00865,Restaurant_865,Saudi Arabia,Sarajevo,Italian,Budget,4.2,21,True,58,65.34,6.7,0.455,3.19,3401.22,58,3.9,Mid Affordability,Low Performer
V00032,Restaurant_32,Germany,Riyadh,Healthy,Premium,4.8,18,True,57,65.45,7.66,0.454,3.04,3294.17,57,4.1,Mid Affordability,Low Performer
V00658,Restaurant_658,UAE,Taipei,Indian,Premium,4.9,22,True,50,62.07,7.65,0.483,2.77,2720.99,50,4.0,Mid Affordability,Low Performer
V00029,Restaurant_29,Bangladesh,Sarajevo,Asian,Budget,4.6,42,True,41,70.92,7.78,0.409,2.97,2588.83,41,4.0,Mid Affordability,Low Performer
V00893,Restaurant_893,Taiwan,Berlin,Mexican,Budget,4.3,26,True,39,61.8,8.52,0.485,2.83,2077.8,39,3.5,Mid Affordability,Low Performer
V00114,Restaurant_114,Saudi Arabia,Berlin,Dessert,Standard,3.3,41,True,41,54.05,8.18,0.55,3.41,1880.67,41,4.1,Mid Affordability,Low Performer
V00570,Restaurant_570,Taiwan,Sarajevo,Asian,Standard,3.7,24,True,54,58.23,7.92,0.515,3.19,2716.32,54,4.1,Mid Affordability,Low Performer
V00520,Restaurant_520,Bosnia,Dhaka,Healthy,Premium,2.8,36,True,44,59.72,7.19,0.502,2.69,2311.63,44,3.7,Mid Affordability,Low Performer
V00901,Restaurant_901,UAE,Taipei,Asian,Premium,4.3,39,True,54,70.79,6.72,0.41,3.17,3459.61,53,4.2,Mid Affordability,Low Performer
V00474,Restaurant_474,Germany,Dhaka,Italian,Premium,4.1,15,True,49,61.87,7.01,0.484,3.26,2688.04,49,3.8,Mid Affordability,Low Performer
V00576,Restaurant_576,Bangladesh,Berlin,Turkish,Premium,4.7,38,True,52,55.08,7.68,0.541,2.91,2464.66,52,3.6,Mid Affordability,Low Performer
V00408,Restaurant_408,Germany,Berlin,Indian,Budget,3.3,14,True,44,61.21,6.32,0.49,2.96,2414.91,43,4.2,Mid Affordability,Low Performer
V00825,Restaurant_825,UAE,Riyadh,Turkish,Budget,4.5,24,True,40,62.07,6.88,0.483,3.1,2207.72,40,3.9,Mid Affordability,Low Performer
V00719,Restaurant_719,UAE,Dubai,Turkish,Premium,2.9,36,True,46,55.13,6.36,0.541,2.96,2243.59,46,3.6,Mid Affordability,Low Performer
V00727,Restaurant_727,Taiwan,Berlin,Dessert,Standard,3.3,34,True,47,65.93,7.32,0.45,2.54,2754.8,47,3.9,Mid Affordability,Low Performer
V00645,Restaurant_645,Turkey,Taipei,Dessert,Standard,4.0,18,True,33,62.91,8.64,0.476,2.47,1790.93,33,4.2,Mid Affordability,Low Performer
V00646,Restaurant_646,Turkey,Istanbul,Mexican,Standard,4.1,42,True,48,72.54,5.86,0.395,3.2,3200.61,48,4.5,Low Affordability,Low Performer
V00446,Restaurant_446,Bosnia,Riyadh,Turkish,Standard,4.1,29,True,51,60.31,8.81,0.497,2.88,2626.47,51,4.1,Mid Affordability,Low Performer
V00704,Restaurant_704,Germany,Sarajevo,Healthy,Budget,2.9,27,True,38,65.79,6.99,0.452,3.01,2234.69,38,4.2,Mid Affordability,Low Performer
V00651,Restaurant_651,Germany,Berlin,Turkish,Standard,4.7,10,False,50,56.9,8.66,0.526,2.95,2412.03,50,3.8,Mid Affordability,Low Performer
V00726,Restaurant_726,Taiwan,Taipei,Dessert,Standard,3.8,24,True,41,72.1,7.87,0.399,3.22,2633.18,41,4.1,Low Affordability,Low Performer
V00775,Restaurant_775,Bangladesh,Sarajevo,Healthy,Premium,3.7,41,True,48,62.67,7.83,0.478,2.84,2632.5,47,4.2,Mid Affordability,Low Performer
V00057,Restaurant_57,Turkey,Istanbul,Fast Food,Premium,3.2,12,True,53,62.9,8.6,0.476,3.0,2877.94,53,3.8,Mid Affordability,Low Performer
V00424,Restaurant_424,Bosnia,Dhaka,Fast Food,Premium,3.9,32,True,40,70.33,7.16,0.414,2.77,2526.87,40,3.9,Mid Affordability,Low Performer
V00228,Restaurant_228,UAE,Dubai,Indian,Budget,3.6,36,True,55,63.19,7.24,0.473,2.99,3077.09,55,4.2,Mid Affordability,Low Performer
V00966,Restaurant_966,Bangladesh,Dubai,Indian,Budget,4.4,40,False,43,58.14,6.53,0.515,3.28,2219.26,43,3.7,Mid Affordability,Low Performer
V00799,Restaurant_799,Bosnia,Sarajevo,Asian,Standard,4.6,30,True,54,61.34,8.67,0.489,2.9,2844.47,54,3.8,Mid Affordability,Low Performer
V00999,Restaurant_999,Saudi Arabia,Berlin,Fast Food,Standard,2.6,18,False,43,60.54,7.46,0.495,2.63,2282.83,43,3.7,Mid Affordability,Low Performer
V00141,Restaurant_141,Bosnia,Dhaka,Turkish,Standard,3.2,24,True,41,58.36,7.25,0.514,3.12,2095.61,41,4.3,Mid Affordability,Low Performer
V00399,Restaurant_399,Bosnia,Riyadh,Turkish,Standard,3.9,42,True,63,57.03,7.97,0.525,2.88,3090.85,63,4.1,Mid Affordability,Low Performer
V00715,Restaurant_715,UAE,Riyadh,Asian,Budget,3.2,13,False,52,61.22,8.58,0.49,2.89,2736.82,52,3.7,Mid Affordability,Low Performer
V00738,Restaurant_738,UAE,Dubai,Dessert,Standard,3.3,37,True,44,53.34,7.33,0.555,3.04,2024.83,44,4.2,Mid Affordability,Low Performer
V00774,Restaurant_774,Saudi Arabia,Riyadh,Mexican,Standard,4.8,39,True,51,57.62,6.13,0.52,2.85,2625.94,51,3.7,Mid Affordability,Low Performer
V00349,Restaurant_349,Germany,Dhaka,Fast Food,Premium,3.6,21,True,39,59.68,8.24,0.503,3.15,2006.11,39,3.8,Mid Affordability,Low Performer
V00709,Restaurant_709,Saudi Arabia,Istanbul,Italian,Standard,3.0,38,True,44,61.46,6.57,0.488,2.7,2414.88,44,3.9,Mid Affordability,Low Performer
V00385,Restaurant_385,Bangladesh,Dubai,Asian,Standard,3.6,40,True,48,67.15,7.12,0.44,2.86,2881.42,48,3.4,Mid Affordability,Low Performer
V00334,Restaurant_334,Saudi Arabia,Taipei,Italian,Premium,3.0,24,True,43,69.75,7.68,0.419,3.23,2669.12,43,4.1,Mid Affordability,Low Performer
V00481,Restaurant_481,Saudi Arabia,Berlin,Dessert,Standard,3.8,15,False,41,72.35,7.52,0.397,3.27,2658.06,41,4.3,Low Affordability,Low Performer
V00411,Restaurant_411,Bangladesh,Taipei,Mexican,Budget,2.7,14,False,35,56.95,7.33,0.525,3.25,1736.77,35,3.4,Mid Affordability,Low Performer
V00431,Restaurant_431,Taiwan,Dubai,Fast Food,Standard,3.4,33,True,38,75.59,7.52,0.37,3.16,2586.63,38,3.8,Low Affordability,Low Performer
V00723,Restaurant_723,Bosnia,Berlin,Asian,Premium,4.7,37,False,55,63.89,7.64,0.468,3.03,3093.89,55,4.0,Mid Affordability,Low Performer
V00457,Restaurant_457,Bangladesh,Berlin,Asian,Standard,5.0,33,True,41,63.56,6.95,0.47,2.99,2321.02,40,3.6,Mid Affordability,Low Performer
V00004,Restaurant_4,Bosnia,Berlin,Mexican,Standard,4.1,34,True,36,64.32,6.82,0.464,3.07,2070.23,36,4.3,Mid Affordability,Low Performer
V00933,Restaurant_933,Turkey,Dubai,Italian,Budget,3.3,24,True,45,56.6,8.43,0.528,3.61,2167.67,45,4.3,Mid Affordability,Low Performer
V00175,Restaurant_175,Taiwan,Berlin,Dessert,Budget,3.4,32,True,51,61.03,7.28,0.491,2.87,2741.23,51,3.9,Mid Affordability,Low Performer
V00932,Restaurant_932,Turkey,Istanbul,Mexican,Budget,2.7,17,True,41,63.34,7.84,0.472,2.62,2275.15,41,3.9,Mid Affordability,Low Performer
V00898,Restaurant_898,Turkey,Istanbul,Indian,Budget,3.4,24,True,67,61.84,6.79,0.485,2.82,3688.16,67,3.7,Mid Affordability,Low Performer
V00126,Restaurant_126,Saudi Arabia,Riyadh,Fast Food,Premium,4.1,17,True,44,63.08,5.95,0.474,2.83,2513.9,44,3.8,Mid Affordability,Low Performer
V00930,Restaurant_930,Taiwan,Berlin,Italian,Standard,4.8,26,False,53,65.13,7.17,0.457,3.04,3072.01,53,3.9,Mid Affordability,Low Performer
V00689,Restaurant_689,Germany,Riyadh,Dessert,Budget,4.0,28,True,40,59.53,7.66,0.504,2.54,2074.84,40,3.6,Mid Affordability,Low Performer
V00155,Restaurant_155,Germany,Dubai,Healthy,Budget,3.2,15,True,45,61.45,6.96,0.488,3.06,2451.67,45,4.0,Mid Affordability,Low Performer
V00248,Restaurant_248,Saudi Arabia,Sarajevo,Turkish,Premium,2.6,31,False,38,57.47,8.17,0.521,2.59,1873.42,38,3.6,Mid Affordability,Low Performer
V00788,Restaurant_788,Bangladesh,Dhaka,Turkish,Standard,3.2,15,True,38,57.75,7.7,0.519,2.91,1902.06,38,3.3,Mid Affordability,Low Performer
V00605,Restaurant_605,Taiwan,Istanbul,Indian,Premium,3.3,44,True,45,71.56,7.95,0.404,3.06,2862.75,45,4.2,Mid Affordability,Low Performer
V00666,Restaurant_666,Turkey,Dubai,Healthy,Standard,4.1,35,True,58,62.38,7.31,0.48,3.12,3194.43,57,4.2,Mid Affordability,Low Performer
V00394,Restaurant_394,Turkey,Riyadh,Dessert,Premium,3.4,25,True,54,59.26,7.46,0.506,2.74,2797.61,54,3.8,Mid Affordability,Low Performer
V00602,Restaurant_602,UAE,Dhaka,Turkish,Premium,3.7,30,True,45,66.24,7.6,0.448,2.96,2638.79,44,3.6,Mid Affordability,Low Performer
V00082,Restaurant_82,Turkey,Taipei,Asian,Budget,4.1,25,True,50,70.13,7.34,0.416,2.91,3139.89,49,4.5,Mid Affordability,Low Performer
V00837,Restaurant_837,Bangladesh,Istanbul,Italian,Budget,2.9,33,True,40,47.48,7.52,0.604,2.91,1598.58,39,4.1,Mid Affordability,Low Performer
V00075,Restaurant_75,Bosnia,Taipei,Fast Food,Premium,4.8,16,True,48,67.94,7.16,0.434,3.22,2917.16,48,3.7,Mid Affordability,Low Performer
V00800,Restaurant_800,Germany,Taipei,Indian,Standard,4.9,41,True,49,61.37,6.38,0.488,2.63,2694.24,49,3.9,Mid Affordability,Low Performer
V00384,Restaurant_384,Bangladesh,Dhaka,Dessert,Budget,3.0,29,True,33,55.64,6.57,0.536,3.19,1619.23,33,4.0,Mid Affordability,Low Performer
V00559,Restaurant_559,Taiwan,Istanbul,Healthy,Standard,2.8,27,True,43,61.62,7.98,0.486,2.81,2306.33,43,3.7,Mid Affordability,Low Performer
V00362,Restaurant_362,Turkey,Riyadh,Mexican,Premium,4.4,42,True,37,66.73,7.22,0.444,2.99,2201.7,37,3.4,Mid Affordability,Low Performer
V00143,Restaurant_143,Saudi Arabia,Sarajevo,Mexican,Budget,3.3,30,True,46,60.5,8.21,0.496,2.8,2405.57,45,4.0,Mid Affordability,Low Performer
V00626,Restaurant_626,Germany,Taipei,Mexican,Budget,3.1,27,False,42,61.2,8.46,0.49,3.06,2215.38,42,4.2,Mid Affordability,Low Performer
V00927,Restaurant_927,Taiwan,Istanbul,Asian,Premium,3.0,18,True,29,60.31,6.6,0.497,3.49,1557.51,29,3.7,Mid Affordability,Low Performer
V00386,Restaurant_386,Bangladesh,Riyadh,Fast Food,Budget,2.5,13,True,31,55.1,8.86,0.541,3.08,1433.57,31,4.7,Mid Affordability,Low Performer
V00811,Restaurant_811,Germany,Berlin,Turkish,Premium,3.1,17,True,37,59.39,7.7,0.505,3.02,1912.41,37,4.2,Mid Affordability,Low Performer
V00810,Restaurant_810,Germany,Sarajevo,Italian,Standard,3.0,11,True,50,64.2,7.86,0.465,3.02,2816.81,50,3.7,Mid Affordability,Low Performer
V00896,Restaurant_896,Bangladesh,Riyadh,Dessert,Standard,2.8,29,True,54,60.08,7.24,0.499,3.17,2853.22,53,4.1,Mid Affordability,Low Performer
V00791,Restaurant_791,Taiwan,Dhaka,Turkish,Budget,3.4,29,True,62,62.61,8.47,0.478,3.48,3356.65,62,4.0,Mid Affordability,Low Performer
V00524,Restaurant_524,Saudi Arabia,Berlin,Fast Food,Standard,4.6,26,True,60,61.63,7.26,0.486,3.0,3262.06,60,4.1,Mid Affordability,Low Performer
V00925,Restaurant_925,Bangladesh,Istanbul,Italian,Budget,2.7,32,True,60,51.6,7.48,0.57,2.75,2646.98,60,4.2,Mid Affordability,Low Performer
V00653,Restaurant_653,Saudi Arabia,Berlin,Fast Food,Premium,4.8,43,True,50,63.94,8.21,0.467,2.64,2786.67,50,4.0,Mid Affordability,Low Performer
V00173,Restaurant_173,Turkey,Sarajevo,Healthy,Premium,4.3,27,True,51,69.12,7.34,0.424,2.75,3150.79,51,3.7,Mid Affordability,Low Performer
V00672,Restaurant_672,Saudi Arabia,Sarajevo,Turkish,Premium,4.5,12,True,36,64.89,7.1,0.459,2.79,2080.43,36,4.1,Mid Affordability,Low Performer
V00962,Restaurant_962,Bangladesh,Riyadh,Mexican,Standard,2.7,41,True,47,57.18,7.26,0.524,2.9,2346.26,47,4.0,Mid Affordability,Low Performer
V00078,Restaurant_78,Germany,Riyadh,Healthy,Premium,3.7,34,True,46,57.9,8.2,0.517,2.6,2286.39,46,3.8,Mid Affordability,Low Performer
V00952,Restaurant_952,Turkey,Dhaka,Fast Food,Standard,3.2,12,True,52,63.4,8.3,0.472,3.18,2865.04,52,4.0,Mid Affordability,Low Performer
V00844,Restaurant_844,UAE,Istanbul,Turkish,Standard,2.6,14,False,51,63.74,8.34,0.469,3.11,2825.02,51,4.0,Mid Affordability,Low Performer
V00510,Restaurant_510,Saudi Arabia,Dhaka,Mexican,Standard,3.1,19,True,33,67.32,7.33,0.439,3.39,1979.52,33,3.6,Mid Affordability,Low Performer
